,title,is_popular
90,"Tokyo 2020 organisers to raise ratio of women on its board to 42%Postponed Tokyo Olympics are scheduled to be held from July 23 to August 8, Paralympics will start from August 24",1
91,Selja demands release of cane farmers’ dues,0
92,Three media workers shot dead in eastern AfghanistanLocal broadcaster Enikaas TV said the three people were its employees,1
93,Punjabi singer Sunanda Sharma teams up with Nawazuddin Siddiqui for B Praak’s latest project ‘Baarish Ki Jaaye’This project marks their first collaboration,1
94,"In pictures: Property damaged, trees uprooted as rain, thunderstorm lash ChandigarhTemperatures dipped in what has been an otherwise hot April",1
95,Batla House encounter: Delhi court awards death penalty to Ariz Khan for killing inspectorTotal fine of Rs 11 lakh imposed on Ariz,1
96,RBI likely to maintain status quo amid surge in COVID-19 cases: ExpertsThe central bank is slated to announce its first bi-monthly monetary policy of 2021-22 fiscal on April 7,0
97,COVID-19 protocols: Karnataka closes borders with Kerala againLong queues of vehicles could be seen in the border areas since morning,0
98,"Bharat Bandh todayPanchkula police issue traffic advisoryElaborate arrangements made, says police chief",1
99,"We promise to bring ‘asol parivartan’, says PM Modi at Kolkata rally'Asol parivartan (real change) where all progress but nobody is appeased, infiltration is stopped'",1
100,India committed to enhancing capabilities in defence manufacturing: ModiThe PM was addressing a webinar on the effective implementation of the Union Budget's provisions in the defence sector,0
101,"Released on bail, farmers activist Ranjit Singh returns home",1
102,Pakistan says China’s Sinopharm vaccine not effective for people over 60 yearsChina donated half a million doses of Sinopharm vaccines to Pakistan which sent a special plane to airlift the jabs,1
103,AchieversThe Shri Ram School's TSRSM Capitals enter world finals of Wharton Global High School Investment Competition,0
104,being productivePandemic turned this law graduate into 'strawberry girl',1
105,‘Lal Lakir’ Bill to be tabled in this sessionBill against red tape also in line,1
106,"Covid-19: Jalandhar sees 87 deaths in 2 weeksDoaba worst-hit, accounts for 50 pc casualties in Punjab",1
107,"LSTV, RSTV merger begins to create SANSAD TV, CEO appointed'Integration of two channels will lead to substantial savings and improved efficiency with pooling of resources and synchronisation of assets'",1
108,"Rajinikanth to get Dada Saheb Phalke awardKarnataka CM, ministers greet Rajinikanth",1
109,"Good, bad and ugly tracksWhy are wickets that help spinners from Day 1 called “bad”?",0
110,"BJP leaders Vijay Sampla, Shwait Malik face farmers’ ire in Amritsar",1
111,20 new Covid cases reported Baru Sahib varsity in Sirmaur200 nursing students to be tested,0
112,"Punjab Budget: Govt to waive farm loans of 1.13 lakh farmers; Rs 7,180 crore power subsidy announcedSpecial focus on horticulture sector; 'Kamyaab Kisan Khushaal Punjab' scheme launched",1
113,"Mother, her lover arrested for 2019 twin murder of two children in PatialaIn July 2019, the disappearance of the two siblings from Kheri Gandian village of Ghanaur block in the district had led to huge protests against police and had become a political issue",1
114,"Punjab gets over Rs 1,000-crore FDI proposals; land purchasedProject reports submitted",1
115,Police conduct cordon-and-search operation in Karol Bagh; detain 55 for roaming around suspiciouslyThe operation involving around 100 personnel was conducted on Sunday from 7 pm till midnight,0
116,"Bill to impose new tax on fuel passedAmendment cleared for Rs50,000 green tax during RC renewal of non-transport vehicles",1
117,Defamation: AAP leader Sanjay Singh moves High Court against Bikram Majithia,1
118,Kejriwal directs DSIIDC officials to expedite development work in industrial areasThe DSIIDC officials informed the chief minister about the progress of work in these industrial areas,1
119,Amitabh Bachchan confirms undergoing eye surgery; says progress is slowThe 78-year-old actor writes on his blog that the recovery of the surgery is slow and that he be excused for any typing errors,1
120,Worse than they imagined: Rahul on V-Dem report on India’s freedomGandhi was reacting to questions on Sweden’s V-Dem and US based Freedom House rating India poorly on freedom,1
121,"RBI holds interest rates amid Covid surge, pledges to buy Rs 1 lakh crore govt bondsIn the first monetary policy of the 2021-22 fiscal, the central bank sticks to its accommodative stance as long as necessary, amid concerns of rising infections",1
122,"Acceptance for free, safe COVID-19 vaccine high among Indian womenIt was lowest in Russia, the US, and Australia, the researchers found",1
123,SBS Nagar residential plotsAppeal filed against Local Govt Director’s order,0
124,"Gujarat cops nab man from Rajasthan for abetting wife’s suicideThe video message, which the 23-year-old woman recorded on her mobile phone at the riverfront, went viral on social media",0
125,"Local polls: Gujarat Cong chief, opposition leader quitBJP has won 6,110 out of total 8,474 seats for which results have been declared so far",0
126,"Tibetan starts march, wants change in India’s China policy",1
127,Crawley expects ‘very similar pitch’ for final Test against India but ‘slightly easier to bat on’Fourth and final Test of the four-match series between India and England will start in Ahmedabad from March 4,1
128,Muktsar officials shun masks at dist complex,1
129,Defeated negative and vicious forces: Punjab CM Amarinder hails civic poll resultsCongratulates people of Punjab for spectacular win,1
130,"Decide Asian Games player’s claim in two months, says High Court",0
131,'Indo-Pak Express' to be back on TourRohan Bopanna and Aisam-ul-haq Qureshi will compete in the Acapulco ATP 500 event in Mexico from March 15,1
132,5K cops to be deployed during Hola Mohalla22 mobile patrol parties for prescribed routes,1
133,India reports record 1.15 lakh new Covid infectionsSingle-day cases breach one-lakh mark for second time in three days,0
134,SUV with explosives found near Ambani’s house turns out to be stolenThe vehicle with gelatin sticks and apparently a fake number plate was found parked on Carmichael Road near ‘Antilia’,0
135,"All over again!Closure of schools, prospect of online sessions in the wind have sports teachers sweating about players’ fitness...",0
136,"Six months on, farmers protest still going strongResentment amongst leftist and Sikhs, a cause of concern",1
137,custodial deathTwo cops suspended,0
138,NIA takes over probe in Murshidabad blastTMC leader Jakir Hossain along with 21 others were injured in the February 17 explosion that took place at Nimita railway station in Bengal’s Murshidabad,1
139,"Mansa farmers protest irregular power supplyGherao XEN office, relent after assurance",1
140,"Behbal Kalan firing case: Ex-DGP Saini, former IG Umranangal move court for anticipatory bailBoth have been chargesheeted by SIT of Punjab police on January 15, summoned by court for February 9",1
141,"141 farmers committed suicide in Chhattisgarh in 10 months: GovtThe issue of farmer suicides rocked the Assembly, with the opposition BJP demanding a probe into these cases",0
142,"Bengaluru start-up launches battery for EV that can be charged in less than 15 minutes'It also lasts for 15-plus years, thus significantly lowering battery cost/km'",1
143,"Punjabi University daily wagers shut gates, protest over delay in renewal of contractsUniversity introduced a gap of four days at the time of the renewal of their work contract which takes place every two months",1
144,Setting recordsThis Limca Book of Record holder made saree using 25 natural fibres,0
145,"Donald Trump hints at 2024 run'With your help, we will take back the House, we will win the Senate and then a Republican president will make a triumphant return to the White House'",1
146,"Don’t hike insurance premia, insurers told",0
147,"Default amount rises to Rs 6,800 crore in Haryana DISCOMSTill December 2020, there are over 15.59 lakh defaulting connections and against them, Rs 4,754.08 crore amount is pending",1
148,"Evidence of normalisation of economic activity in India: IMF chief economistOn Tuesday, the IMF predicted a projected 12.5 per cent growth rate for India in 2021, stronger than that of China",0
149,AC and refrigerator to be costlier; gold and silver to be cheaperGold and silver will become cheaper as a result of rationalisation in customs duty,1
150,"Child dies after woman throws him from building in HyderabadAccused arrested, police say the woman was uncomfortable with her husband being affectionate towards the 3-year-old",0
151,"350-gm plastic, rubber bands removed from  4-yr-old kid’s stomach",1
152,Migration of MBBS student from unrecognised college to recognised one impermissible: SCSets aside Rajasthan High Court order which had directed MCI to permit migration of an MBBS student from an unrecognised college to a recognised one,0
153,"SC notice to Centre, EC on plea to nullify election result if maximum votes for NOTAA bench comprising Chief Justice SA Bobde and Justices AS Bopanna and V Ramasubramanian issues notices to the Ministry of Law and Justice and the Election Commission of India while seeking their replies on the plea",0
154,"10 more Covid deaths, 730 new cases in PunjabNumber of active cases rises to 5,198",1
155,"Jaishankar, UAE foreign minister hold talks, review bilateral tiesThe UAE foreign minister’s visit comes just over two months after Jaishankar visited the United Arab Emirates in November last year",0
156,"SC pulls up Centre for delay in installation of CCTV cameras in offices of CBI, NIA, EDSays not ready to accept the excuses offered in the Centre’s letter seeking adjournment",0
157,"Setback for PM Imran, as Pakistan’s ex-premier Gilani defeats finance minister in Senate electionGovt spokesman says will ‘challenge the election’",0
158,SpaceDistant planet gains 2nd atmosphere through volcanic activity,0
159,"ASHA workers, pensioners come down hard on govtHealth workers only getting Rs2 per jab, while beneficiaries demand return of old pension scheme",0
160,Four drug peddlers held in Abohar,0
161,Badshah’s latest song talks about Punjabi’s migrating to Canada; here's his reactionThe promotional music video also features Punjabi actress turned producer Sargun Mehta,1
162,"Accomplice of suspected pro-Khalistan terrorists arrested in UPParamjit, Maltani were allegedly preparing Jagdev Singh to carry out anti-national activities",1
163,"Vernon Jordan, activist, former Clinton adviser, has diedJordan was a key campaign adviser to Clinton during his first presidential campaign",1
164,Foundation laid for 'memorial' to farmers who died during course of protest against agri laws,0
165,"One bogie of Dehradun-bound Shatabdi catches fire, no casualtyUttarakhand DGP Kumar said the train has reached Dehradun",1
166,Sri Lanka hopes for India's support at UNHRC session in GenevaUN resolution has accused Sri Lanka of war crimes and calls for measures against those responsible for rights violations during last phase of the armed conflict with LTTE,1
167,Death toll in Lawaypora attack rises to 3 with death of injured CRPF personnelPolice arrest two overground workers involved in providing logistical support to militants who carried out the attack,1
168,Students protest closure of library at Panjab University,0
169,Lok Sabha member Mohan Delkar found dead in Mumbai hotelThe body of Delkar was found at a Marine Drive hotel in south Mumbai,1
170,"Bribery caseCBI court frames charges against ex-SHO, 4 others",0
171,Cook slams Kohli’s assessment of Motera pitchCook said batting was near impossible on the newly laid strip at the refurbished stadium in Ahmedabad,0
172,"Pakistani  smuggler shot near Indo-Pak border in Punjab; 22 kg heroin, 2 AK-47 rifles seized",1
173,Sudden discharge of current from electric pole caused unusual lava-like eruption near KulluGrayish magma-like material had erupted near the base of an electric pole in Lafali village in Kullu; videos of the incident had gone viral,1
174,Kewal Dhaliwal’s latest play depicts Guru Tegh Bahadur’s life story,0
175,reopening of schoolsEnglish children head back to school after two months of home learning,0
176,"India’s next phase of virus crisis likely to be localised outbreaks: ExpertsAt more than 11 million, India has reported the highest number of cases in the world after the United States",1
177,"Himachal civic pollsVoting for 4 municipal corporations under way in Himachal40 pc polling in Dharamshala till 2 pm, 49 pc in Palampur",0
178,Events at border illustrative of confident India: PM ModiSays confidence is a very big asset,1
179,"Remarks on rape case ‘completely misreported’, says Supreme CourtThe comments come in the wake of recent criticism against the Supreme Court that it had asked a rape accused in another case whether he would marry the victim",1
180,"In pictures: Ripe wheat crop, property damaged as rain, thunderstorm lash PunjabPower cuts reported in many areas",1
181,Ashwin is constantly reinventing himself: LaxmanOff-spinner recently became the fourth Indian bowler to take 400 wickets in Test cricket,0
182,"ASHA workers, pensioners come down hard on govtHealth workers only getting Rs2 per jab, while beneficiaries demand return of old pension scheme",0
183,"J&K Assembly polls after delimitation: Finance MinisterJ&K people have accepted abrogation of Article 370, says Nirmala",1
184,Chandigarh Congress chief gets jabbed,0
185,Foldable iPhone with 8-inch display in worksOne previous rumour has also predicted a foldable iPhone with a 7.3-7.6-inch display and support for Apple Pencil,1
186,"Neha Kakkar teams up with Rubina Dilaik, Abhinav Shukla for new project; shares first-lookThe news was also shared by Rubina and Abhinav on their Instagram profiles",1
187,"South Korea reports 668 new coronavirus cases, highest daily count in 3 monthsLatest surge centered around clusters in kindergartens, saunas, bars and churches",0
188,Delhi HC restrains Future Group from going ahead with RIL deal,0
189,happy newsTriumph the koala climbs and runs with prosthetic foot made by Australian dentist,0
190,Amarinder announces minibus permit policy,1
191,"COVID-19: Pakistan to vaccinate 80-year-olds and above at their homesThis was the smallest rise in daily new infections since March 25, when 4,368 new cases were reported",0
192,Fazilka farmer dies of heart attack at Tikri,0
193,Govt nod to Karnal eastern bypass,1
194,No martyr status for farmers who died during protest against agri laws: Haryana GovernmentCongress has been demanding status of martyr for the deceased farmers and financial assistance for their kin,0
195,"Spectrum auction ends with Rs 77,815 crore bids; Jio top buyer with Rs 57,122 crNo takers for airwaves in premium 700 and 2500 MHz bands",0
196,"PMLA adjudicating authority gives nod, ED takes possession of Naxal leader’s attached assetsAbhijeet Yadav has been charged for the collection of levy, criminal conspiracy, attempt to murder and extortion",0
197,Over 15 per cent drop in crime rate in 2020: Delhi PoliceThe number of crimes against women also saw a decline,0
198,Pact on hybrid veggies,1
199,Death of rape victim’s father: Kanpur police look into suicide angleThe man was on Wednesday knocked dead by a truck outside a health centre in Ghatampur area here where his daughter was undergoing a medical examination,0
200,"fun & educationOpening the doors of perception, Croatia's Museum of Illusion goes global",0
201,Every Indian deserves chance to safe life: Rahul Gandhi on COVID-19 vaccine access,0
202,Una man among top 10 Indian billionaires in US,1
203,"20 lakh jabs on Friday, highest so far: GovtTwenty states and Union territories have less than 1,000 active cases",0
204,"Ambani bomb case: Hiren wrote to Maharashtra CM alleging harassment by cops, mediaThe Maharashtra Anti-Terrorism Squad (ATS) has taken over the probe into the entire matter",1
205,"Texas freeze led to release of tons of air pollutants as refineries shutShutdowns led to the refineries flaring, or burning and releasing gases, to prevent damage to their processing units. That flaring darkened the skies in eastern Texas with smoke visible for miles",0
206,"GDP back in positive territory, but barelyAgriculture underpins recovery with 3.9 % growth, service sector rises too",1
207,Farmers at Singhu border observe ‘Yuva Kisan Diwas’,1
208,Abohar gets ODF ++ status,1
209,"Night curfew imposed in Delhi from 10 pm to 5 am till April 30The city recorded 3,548 fresh cases of COVID-19 on Monday",0
210,Committee set up to examine if payment gateway can be reporting entity under PMLA: Centre to HCIt was hearing American online payment gateway PayPal’s plea challenging a Rs 96 lakh penalty imposed on it for alleged violation of anti-money laundering law,1
211,"Entry to four metro stations briefly closed, resumedNearly ten minutes later, it updated that entry facilities to the four stations were resumed",0
212,Coal theft case: Abhishek's wife asks CBI team to visit home on Feb 23Investigating agency also examines TMC leader’s sister-in-law Menaka Gambhir in the case,0
213,Major projects initiated in 2020 still pending,0
214,Punjab Government for bureaucrat as IK Gujral varsity Registrar,0
215,"Mehul Choksi is Antiguan citizen, his citizenship has not been revoked, says his advocateAntiguan PM had said Choksi’s citizenship will be revoked, he will be extradited to India once all his legal options are exhausted",0
216,"Sensex climbs 300 points after RBI policy outcome; Nifty jumps over 14,750 levelNestle India was the top gainer in the Sensex pack, rising over 2 per cent, followed by Bharti Airtel, Reliance Industries, Asian Paints, SBI, IndusInd Bank and Dr Reddy's",0
217,4 die in UP's Pratapgarh after consuming spurious liquor,0
218,Security forces bust Hizbul Mujahideen hideout in Pulwama forests,1
219,"Mamata files nomination from Nandigram, exudes confidence of winning the seatFeisty TMC chief will contest from Nandigram for the first time after relinquishing her Bhowanipore constituency in Kolkata",1
220,Pitch looks very similar to last Test: RootEngland skipper says the important thing is that we learn the lessons from the last two games and make sure we are ready for the challenge in the last Test,1
221,All set for buying rabi crops on MSP: Dy CM,1
222,"RS nod to regulation for dieticians, osteopaths, dental hygienists among other allied health providers",1
223,"Govt imposes cess on petrol, diesel, gold, other items to fund agri infra development‘We have taken care not to put additional burden on consumers on most items’",1
224,US court allows Tahawwur Rana to file additional reply in extradition case to IndiaThe United States has supported India's request for his extradition to India.,0
225,"8 teachers, 3 students in Patiala test positive",1
226,CareercatureCubicle HumourSandeep Joshi,1
227,Budget 2021-22Over 15k schools to be strengthened as per new NEP100 new Sainik Schools to be set up,0
228,"Sensex climbs 300 points after RBI policy outcome; Nifty jumps over 14,750 levelNestle India was the top gainer in the Sensex pack, rising over 2 per cent, followed by Bharti Airtel, Reliance Industries, Asian Paints, SBI, IndusInd Bank and Dr Reddy's",0
229,Exploring all channels to trace jawan: Chhattisgarh PolicePolice informers have also been activated to gather information about the missing jawan,0
230,"5-year-old girl mauled to death by stray dogs in Bathinda; kin suspect foul playPolice probe on, post-mortem report awaited",1
231,"Punjab, 5 other states fuel surge in Covid casesAccount for 85% of fresh cases | 10 lakh given jabs in 24 hours",1
232,Patiala DSP who thrashed Mayor’s guard transferredShifted from GRP to IRB in Pathankot,1
233,"Emaar MGF ex-MD, wife booked for fraudAccused of cheating DTCP by using forged documents",0
234,Air force plane crash kills 6 in Mexico’s Veracruz stateLocal media reported that the plane left the runway and burst into flames.,0
235,"Deputy Speaker, DGP call on Governor over security",1
236,226 terrorists killed in J&K since 2020: CRPF,0
237,‘Jalebs’ tickle taste buds of protesting farmers at Singhu border,1
238,Sachin Waze’s arrest by NIA ‘insult’ of Maharashtra Police: Shiv SenaNIA arrested Waze in connection with its probe into recovery of a Scorpio containing 20 gelatin sticks,0
239,Indians rank high on positivity about finances in new Global Student Survey,1
240,Removal of US troops from Afghanistan will be orderly: Biden AdministrationState Department Spokesperson Ned Price says Afghanistan can never again become a platform for terrorist attacks that would threaten the US or its allies,0
241,Pregnant woman found hanging in UP; in-laws bookedPolice said a case has been lodged against her in-laws for allegedly demanding dowry from her,0
242,"Delhi Police cement nails, barricade border protest sites with barbed wiresWorkers, under the watch of police personnel, on Monday were seen hooking iron rods between two rows of cement barriers on a flank of the main highway at the Singhu border",1
243,"BJP’s base has eroded in state, says Brahm  Mohindra",1
244,"38 cases registered after violence in Delhi on January 26, minister informs ParliamentMinister of State for Home G Kishan Reddy says the police have informed them that no road has been dug up at the city’s borders in view of the agitation, but security has been strengthened in the national capital",1
245,One of the truest tests of integrity is its blunt refusal to be compromised. — Chinua Achebe,0
246,Behbal case: SIT to get CCTV footage of court complexHad alleged suspended IGP Umranangal was trying to influence witnesses,1
247,9 more fast-track courts to deal with crime against children,1
248,"PC Chacko resigns from Congress, alleges groupism in Kerala unitSends his resignation letter to Congress president Sonia Gandhi",1
249,changing timesMobile use can change how kids see the world,0
250,"Banks to remain closed for four days from March 13New generation private banks such as ICICI, HDFC, and Kotak Mahindra banks will function as usual on March 15 and 16.",1
251,"6 books, nix books: Dr. Seuss works halted for racist imagesIn 2018, a Dr. Seuss museum in his hometown of Springfield removed a mural that included an Asian stereotype",1
252,Pilgrims undergo Covid tests in Amritsar,1
253,"Linking printouts to source possible, says studyPrintouts could be linked to the specific machine from which it was printed using the database",1
254,"Farmers' protest: Now, ‘non-cooperation’ on unions’ agenda",1
255,"Mumbai Airport to resume domestic flight operations from Terminal-1 from March 10Upholding the safety of the passengers, the resumption of services via T1 is a step further in ensuring that social distancing is strictly followed",0
256,"Arrest Karnal vandals or face stir, warn DalitsSeek security, relief for damages",1
257,in the newsBihar Class X exams: 101 boys and girls are top 10 rankers,0
258,Will target corporates’ godowns if farm laws not repealed: Rakesh Tikait,0
259,"COVID-19: 12 new cases in ChandigarhInfection count in UT up to 21,036; 75-year-old succumbs to virus",1
